Tweet,preprocessed,Sentimen
"@tanyakanrl agak bete karna jujurly ak salah satu pengguna tiktokshop, walaupun cuma sesekali. tp emg bner, ditutup itu bukan solusi yg tepat untuk skrg ya. karna tiktok sendiri malah membuka lapangan kerja khususnya bagi para pengusaha pengusaha umkm. pada ngerekrut host live jg kan",agak bosan karena jujurly saya salah satu pengguna tiktok shop walaupun cuma sesekali tetapi memang benar ditutup itu bukan solusi yang tepat untuk sekarang iya karena tiktok sendiri bahkan membuka lapangan kerja khususnya bagi para pengusaha pengusaha umkm pada ngerekrut host live juga kan,Positif
tiktok shop kenapa ditutup sih,tiktok shop kenapa ditutup sih,Negatif
Tiktokshop ditutup masih ada photoshop,tiktok shop ditutup masih ada photoshop,Negatif
@cikilebaran tiktok shop besok ditutup,tiktok shop besok ditutup,Negatif
@KangSay27727965 Anda jualan offline ya? ðŸ˜‚.. Yang kena imbas penutupan tiktokshop juga banyak loh. Ga cuman 1-2 orang. Banyak.. emang beda kok. Kan bisa regulasinya di ubah bukan malah maksa tutup.. alasan kamu ga masuk. ðŸ˜‚.,anda jualan offline iya yang kena imbas penutupan tiktok shop juga banyak loh tidak cuman orang banyak memang beda kok kan bisa regulasinya di ubah bukan bahkan maksa tutup alasan kamu tidak masuk,Positif
"tiktokshop ditutup, stop rezeki banyak orang, paling ngaruh ke host live, dan aku sebagai host live sangat sangat kecewa dan sakit hati banget, rezekiku diputus begitu aja oleh pemerintah, nangis? iya! rencana buat nabung, kedepannya plan a b c d sampai z, ancur semuaðŸ˜Š mksh",tiktok shop ditutup stop rezeki banyak orang paling berpengaruh ke host live dan saya sebagai host live sangat sangat kecewa dan sakit hati sekali rezekiku diputus begitu saja oleh pemerintah menangis iya rencana buat nabung kedepannya rencana a b c di sampai z hancur semua mksh,Positif
Info TikTok shop mau ditutup gimana ya? Duh rumitnyaaa ðŸ¥²,informasi tiktok shop mau ditutup bagaimana iya aduh rumitnyaaa,Negatif
"@jek___ @unknwsns Pantesan tiktokshop di tutup pemerintah, trnyata grgr u join jualan disana",pantesan tiktok shop di tutup pemerintah ternyata grgr kamu join jualan disana,Negatif
"ini tiktok shop knp hrs ditutup si, pdhl disitu lebih byk diskon and lebih murahðŸ˜”",ini tiktok shop kenapa harus ditutup si padahal disitu lebih banyak diskon and lebih murah,Positif
"gblok ih orang2 yang jualan ga pke online shop ngamuk2 tiktok shop musti ditutup soalnya dagangan mereka ga laku blablabla dan BERHASIL akan ditutup, TP TETEP AJA YANG DEMEN ONLINE SHOP YA KABUR KE PLATFORM JUALAN ONLINE LAIN LAH AHSHWHEHSHAA SAMA AJA ANJENG",bodoh ih orang yang jualan tidak pakai online shop ngamuk tiktok shop mesti ditutup soalnya dagangan mereka tidak laku blablabla dan berhasil akan ditutup tetapi tetep saja yang suka online shop iya kabur ke platform jualan online lain lah ahshwhehshaa sama saja anjing,Negatif
Besok TikTok shop ditutup ? Lahh begimana jajanan aing masih dijalan mana ada cashback lagi â˜ ï¸ðŸ˜­ðŸ˜­ðŸ˜­ Duit itu woiii ahhh mayan cashback nya,besok tiktok shop ditutup lahh begimana jajanan saya masih dijalan mana ada cashback lagi uang itu woiii ahhh mayan cashback nya,Negatif
Btw klo tiktok shop beneran tutup besok trus ni barang2 gue yg belom nyampe gmn ya ðŸ¥¶,ngomong-ngomong kalau tiktok shop benar tutup besok terus ini barang saya yang belum sampai bagaimana iya,Negatif
"sebelum tiktok shop tutup, kata gue mah ayo kook live tiktok jualan album taro keranjang kuning dijamin ludes ðŸ˜­ðŸ«µðŸ»",sebelum tiktok shop tutup kata saya mah ayo kook live tiktok jualan album taro keranjang kuning dijamin ludes,Positif
dadah tiktok shop,dadah tiktok shop,Netral
"sebenernya yang dilarang sm pemerintah itu apa? aplikasi sosial media yang bisa jualan kan? nah ada kemungkinan tiktok shop akan buat platform sendiri, dan bakal h2h sm toko ijo sm oren langsung masalah selesai sebenernya. karena ijo dan oren pun ada live dan gamasalah *cmiiw",sebenarnya yang dilarang sm pemerintah itu apa aplikasi sosial media yang bisa jualan kan nah ada kemungkinan tiktok shop akan buat platform sendiri dan bakal hh sm toko hijau sm oren langsung masalah selesai sebenarnya karena hijau dan oren pun ada live dan gamasalah correct me if i'm wrong,Positif
"tiktok shop ditutup, tapi warung madura ttp buka 24 jam kok ðŸ˜",tiktok shop ditutup tetapi warung madura tetap buka jam kok,Negatif
Bjirr lah tiktok shop di tutup pdhl gacor bgt ðŸ¥¹,bjirr lah tiktok shop di tutup padahal gacor sangat,Positif
"Masih ada 16 barang di keranjang, masih banyak kupon freong dan tiktok shop mau tutup. Daaaaaamn",masih ada barang di keranjang masih banyak kupon gratis ongkos kirim dan tiktok shop mau tutup daaaaaamn,Positif
Padahal co di tiktokshop segampang dan semudah ituðŸ¥²,padahal check out di tiktok shop segampang dan semudah itu,Positif
"Tiktok shop masa udah gak bisa transaksi lagi, baru juga mau gencar promosi disana wkwkwk. Emang daku type konsisten dan setia kayanya, ttp di toko oren aja deh ðŸ’¥",tiktok shop masa sudah tidak bisa transaksi lagi baru juga mau gencar promosi disana wkwkwk memang saya type konsisten dan setia kayaknya tetap di toko oren saja deh,Positif
"hr ini merasa harus bgt checkout semua barang di tiktok shop knp ya, pressurenya ada bgt",hari ini merasa harus sangat checkout semua barang di tiktok shop kenapa iya pressurenya ada sangat,Positif
"@Agusleo Yep bnr, ini sih tepatnya pedagang online kecil di tiktok shop agak gmn gitu ngeliat artis2 yg harusnya udh kaya"" duid nya dri mana mana, dan masih pamer dagangan laku milyaran di tt shop, ""Platform bebas, siapa aja boleh cari rezeki"" Bro. Please lah."";2;positif,,,,,,,,,,,,,,,",yep bnr ini sih tepatnya pedagang online kecil di tiktok shop agak bagaimana begitu melihat artis yang harusnya sudah seperti duid nya dari mana mana dan masih pamer dagangan laku milyaran di tt shop platform bebas siapa saja boleh cari rezeki saudara laki-laki tolong lahpositif,Positif
"Sebagai yg kerja sehari-hari berhubungan dengan tiktok shop, auto panik meeting â€œwhat should we do?!?â€ðŸ˜€",sebagai yang kerja sehari hari berhubungan dengan tiktok shop auto panik meeting what should we do,Netral
sumpah ya sell tiktok shop sebelum tutup ni meresahkan ak dah check out 4 items ðŸ˜­ðŸ˜­ðŸ˜­,sumpah iya sell tiktok shop sebelum tutup ini meresahkan saya deh check keluar items,Netral
"Tiktokshop itu seru sebelum banyak artis yang ngerusak ekosistem di sana. Macem yutub aja, sebelum banyak artis2 itu seru, kebanyakan artis jadi malesin.",tiktok shop itu seru sebelum banyak artis yang ngerusak ekosistem di sana macam youtube saja sebelum banyak artis itu seru kebanyakan artis jadi malesin,Positif
"pdhl masi byk di keranjang tiktok ku yg blm ku co, bsk da ditutup aja tiktokshopðŸ˜­",padahal masih banyak di keranjang tiktok ku yang belum ku check out besok da ditutup saja tiktok shop,Positif
info lokerrr doongg tiktok shop mau di apusss soalnya ðŸ˜­,informasi lokerrr doongg tiktok shop mau di apusss soalnya,Netral
apa kabar ya orang yg resign dari kerjaan buat jadi livestreamer tiktok shop?,apa kabar iya orang yang resign dari kerjaan buat jadi livestreamer tiktok shop,Netral
"@Celzdeu iyaa, tapi agak susah gak sih kak? apalagi buat ibu2, bapak2 yang awalnya belajar belanja lewat tiktok shop tapi tb2 harus berubah pake link2 gini dan sebagai host kita harus jelasin panjang lebar lagi ðŸ˜”ðŸ˜”",iyaa tetapi agak susah tidak sih kak apalagi buat ibu bapak yang awalnya belajar belanja lewat tiktok shop tetapi tb harus berubah pakai link gini dan sebagai host kita harus jelasin panjang lebar lagi,Negatif
@itsftraandp andani tgl 4 ditutup tiktokshop,andani tanggal ditutup tiktok shop,Negatif
Apalagi mereka yg udh tua tp berjuang ttp cari uang lewat tiktokshop tu gmn ya nyesek bgt nontoninnya klo mereka live:(,apalagi mereka yang sudah tua tetapi berjuang tetap cari uang lewat tiktok shop tu bagaimana iya nyesek sangat nontoninnya kalau mereka live,Positif
@Stakof Tiktok shop tinggal dipisah Dari tiktok yik,tiktok shop tinggal dipisah dari tiktok yik,Netral
eh tiktok shop mau dihapus besok DAN PAKET GUE MASIH STATUSNYA PO NJIRRRR,eh tiktok shop mau dihapus besok dan paket saya masih statusnya po njirrrr,Netral
Dari Tiktok Shop dan Judi Online kita belajar. Para elite negeri ini lebih suka rakyatnya hancur-hancuran ketimbang merdeka ekonomi. Tiktok Shop diurusinnya cepet. Judi online udah berbulan-bulan gak tau arahnya mau diapain malah mau dipajekin alias Legal ðŸ¤£ðŸ¤£ðŸ¤£,dari tiktok shop dan judi online kita belajar para elite negeri ini lebih suka rakyatnya hancur hancuran ketimbang merdeka ekonomi tiktok shop diurusinnya cepat judi online sudah berbulan bulan tidak tahu arahnya mau diapain bahkan mau dipajekin alias legal,Positif
seru kali liat dia banting' harga krn bsk terakir tiktokshop WKWKWKWKWK https://t.co/cN7VlJ2cvR,seru kali lihat dia banting harga karena besok terakir tiktok shop wkwkwkwkwk,Positif
Tiktokshop tutup hm tp jujur harga offline tuh bikin istigfar. Gua beli di toko oren + diskon harganya jd 51rb lah di offline gua lihat sama persis harganya 90rb ðŸ˜­. Padahal di toko oren harga aslinya aja 70rb sblm diskon ðŸ˜©,tiktok shop tutup hm tetapi jujur harga offline tuh bikin istigfar saya beli di toko oren diskon harganya jadi ribu lah di offline saya lihat sama persis harganya ribu padahal di toko oren harga aslinya saja ribu sebelum diskon,Positif
Eh tiba-tiba 24.00 WIB ini muncul aplikasi TikTok Shop sendiri ðŸ‘€,eh tiba tiba wib ini muncul aplikasi tiktok shop sendiri,Netral
"Sedih bgt tiktokshop tutup sementara. Sedih bangettttt, astagahhh affiliator dan seller yg berjuang live everyday dan dpt cuan dr situ kerasa bgt. Mana yg rame cm skincare dan fashion doang akhir2 ini. Pejuang nafkah tetap semangattt gessssss",sedih sangat tiktok shop tutup sementara sedih bangettttt astagahhh affiliator dan seller yang berjuang live everyday dan dapat cuan dari situ kerasa sangat mana yang ramai cm skincare dan fashion doang akhir ini pejuang nafkah tetap semangattt gessssss,Negatif
"bener ga sii, tiktok shop bakal ditutup besok??? gimana nasib paket gua yaa ðŸ˜ª",benar tidak sii tiktok shop bakal ditutup besok bagaimana nasib paket saya yaa,Positif
"Live di toko oren kameranya burik, trus jarang ada yg komen ðŸ¥² semoga tiktok shop kembalii",live di toko oren kameranya burik terus jarang ada yang komen semoga tiktok shop kembalii,Positif
"Sebelum TikTok Shop Ditutup, Elon Musk Ternyata Sebut TikTok Merusak Peradaban dan Timbulkan Tren Kebodohan, Kok Bisa.. #Teknologi  https://t.co/iwMCwK7LYU",sebelum tiktok shop ditutup elon musk ternyata sebut tiktok merusak peradaban dan timbulkan trend kebodohan kok bisa,Negatif
Emang nutup tiktok shop bikin tanah abang jadi rame ? Malah banyak ruginya nutup tiktok shop tau. Lucu bgt nih yg buat kebijakan,memang nutup tiktok shop bikin tanah abang jadi ramai bahkan banyak ruginya nutup tiktok shop tahu lucu sangat ini yang buat kebijakan,Positif
"Bingung hrs seneng apa sedih tiktokshop ditutup, tp grgr tiktok shop gw bor0shh",bingung harus senang apa sedih tiktok shop ditutup tetapi grgr tiktok shop saya borshh,Negatif
"Karena itu jangan khawatir tentang hari esok, karena hari esok akan khawatir tentang dirinya sendiri  #akutau  Tiktok Shop - Gen Z https://t.co/EltlEBkuip",karena itu jangan khawatir tentang hari esok karena hari esok akan khawatir tentang dirinya sendiri tiktok shop gen z,Netral
Kalo masih percaya pemerenta nutup tiktokshop karena peduli pedagang â€œkecilâ€ tenabang anda keliru.  Lah judi onlen yang udah banyak korbannya aja kaga ditutup.  Peduli apa peduli tu?,kalau masih percaya pemerenta nutup tiktok shop karena peduli pedagang kecil tenabang anda keliru lah judi onlen yang sudah banyak korbannya saja tidak ditutup peduli apa peduli tu,Positif
tiktokshop ni sebenrnya udah ditutup belum sih,tiktok shop ini sebenrnya sudah ditutup belum sih,Negatif
Sedih juga ya gaada tiktok shop. Biasa kalo gak oren ya di tiktok,sedih juga iya tidak ada uang tiktok shop biasa kalau tidak oren iya di tiktok,Negatif
@kolomenjingmrch Kasian juga mbak2 ni cuma kerja gasih host live tiktok shop,kasian juga kakak ini cuma kerja gasih host live tiktok shop,Negatif
Lamak eh shipping dari tiktok shop,lamak eh shipping dari tiktok shop,Netral
"@dineasr @txtdaribandung Makanya sepi, enakan tiktok shop ga bayar parkir, harusnya pedagang adu kuat sama preman",makanya sepi enakan tiktok shop tidak bayar parkir harusnya pedagang adu kuat sama preman,Negatif
Langsung ke shopee padahal dah sayang banget sama tiktokshop,langsung ke shopee padahal deh sayang sekali sama tiktok shop,Positif
"Tiktok shop ditutup hostlive sedih, bos sedih, admin toko sedih.",tiktok shop ditutup hostlive sedih bos sedih admin toko sedih,Negatif
blm pernah nyobain fitur tiktok shop ini udh ditutup ajaðŸ¥²,belum pernah nyobain fitur tiktok shop ini sudah ditutup saja,Netral
Interesting POV terhadap TikTokShop ditutupðŸ‘‡ðŸ‘‡ðŸ‘‡,interesting pov terhadap tiktok shop ditutup,Positif
Tiktokshop beneran dah gaada nih? Bjir lah ðŸ’”,tiktok shop benar deh tidak ada uang ini bjir lah,Positif
belanja jadi ga seru lagi soalnya gaada tiktokshop,belanja jadi tidak seru lagi soalnya tidak ada uang tiktok shop,Negatif
Gue belom pernah beli di tiktokshopðŸ˜­,saya belum pernah beli di tiktok shop,Netral
"tiktok shop tutup gimana yaa, gue kalo mau co biasa bandingin harga di tiktok sama shopee dulu bjir",tiktok shop tutup bagaimana yaa saya kalau mau check out biasa bandingin harga di tiktok sama shopee dulu bjir,Negatif
tiktok shop bnrn mau dihps kah,tiktok shop benaran mau dihps kah,Positif
mix feeling tiktok shop mau tutup ðŸ¥º,mix feeling tiktok shop mau tutup,Positif
jujur sedih bgt tiktok shop ditutup ðŸ’”,jujur sedih sangat tiktok shop ditutup,Negatif
"Ayo guys yg mau belanja ke tiktokshop aja, brand lagi pada panik makanya harganya pd turunðŸ˜",ayo teman-teman yang mau belanja ke tiktok shop saja brand lagi pada panik makanya harganya pada turun,Negatif
Beberapa hari lalu sempat nulis mengenai fenomenaa artis jualan di Tiktok dengan harga murah. Eh sekarang Tiktok Shop ditutup beneran....  #tiktokshops  https://t.co/5Q3XsQGOw3,beberapa hari lalu sempat menulis mengenai fenomenaa artis jualan di tiktok dengan harga murah eh sekarang tiktok shop ditutup benar,Negatif
gue seneng deh tiktok shop mau tutup krn gue kl scrool tiktok kebanyakan iklan mulu anjir lah,saya senang deh tiktok shop mau tutup karena saya kalau scrool tiktok kebanyakan iklan melulu anjing lah,Positif
"Lagi rame nih tiktok shop mau ditutup, yuk  check out sebelum ditutupðŸ˜‰  siapa nih yang udah berburu diskon? hehe",lagi ramai ini tiktok shop mau ditutup yuk check keluar sebelum ditutup siapa ini yang sudah berburu diskon he,Positif
"Sebagai konsumen rutin TikTok Shop, kerasa sih sedihnya ngeliatin para seller say goodbye. Semoga segera ada gantinya dari TikTok ya. Aku termasuk suka nontonin live jualan orang2 ini sambil belanja juga soalnya. @tiktokIDN bikinlah ecom sendiri yuk.",sebagai konsumen rutin tiktok shop kerasa sih sedihnya ngeliatin para seller sayang goodbye semoga segera ada gantinya dari tiktok iya saya termasuk suka nontonin live jualan orang ini sambil belanja juga soalnya bikinlah ecom sendiri yuk,Positif
eh btw brati ini udah gak bisa belanja di tiktok lg ya? anjir padahal baru belajar dan belanja di tiktokshop bbrp hari laluðŸ«  udah banyak yg tak masukin keranjang eh belum sempet co pdhl zz,eh ngomong-ngomong brati ini sudah tidak bisa belanja di tiktok lagi iya anjing padahal baru belajar dan belanja di tiktok shop beberapa hari lalu sudah banyak yang tidak masukkan keranjang eh belum sempat check out padahal zz,Positif
@m00ndaysix sumpah tiktok byk jajan enak hiks alasan paling ga masuk akal nutup tiktokshop tuh gegara toko offline sepi,sumpah tiktok banyak jajan enak hiks alasan paling tidak masuk akal nutup tiktok shop tuh gegara toko offline sepi,Positif
"mulai yang lagi rame dulu ah. muncul berita tiktokshop ditutup, eh beneran dong ditutup. padahal menurut gua yang perlu diperbaiki adalah regulasinya, social commerce ini hal baru dimana memang belum ada regulasi ketat yang mengatur. alih alih menutup tiktokshop, mending bikin",mulai yang lagi ramai dulu ah muncul berita tiktok shop ditutup eh benar dong ditutup padahal menurut saya yang perlu diperbaiki adalah regulasinya sosial commerce ini hal baru dimana memang belum ada regulasi ketat yang mengatur alih alih menutup tiktok shop lebih baik bikin,Positif
"itu ga make sense. karena setelah tiktokshop ditutup, customer yang suka belanja online larinya bakal ke e commerce lagi, bukan ke toko offline segmen pasarnya udah beda.  sama kek lu pake wa, kalo wa ditutup ya lu pindahnya ke tele, line, dll. bukan ke surat kertas",itu tidak make sense karena setelah tiktok shop ditutup konsumen yang suka belanja online larinya bakal ke e commerce lagi bukan ke toko offline segmen pasarnya sudah beda sama seperti kamu pakai wa kalau wa ditutup iya kamu pindahnya ke tele line dan lain-lain bukan ke surat kertas,Negatif
"aturan tiktokshop khusus barang lokal atau push down penjualan barang dari china, dan aturan aturan lain yang valuenya mensejahterakan penjual.  ada komentar lain, emang kalo tiktokshop ditutup tanah abang jadi rame lagi? enggak kan. yes gua setuju,",aturan tiktok shop khusus barang lokal atau push bawah penjualan barang dari china dan aturan aturan lain yang valuenya mensejahterakan penjual ada komentar lain memang kalau tiktok shop ditutup tanah abang jadi ramai lagi tidak kan yes saya setuju,Negatif
"Tiktok shop tutup lalu besok aku di move buat live di platform lain sama agency, which means belum tentu income &amp  insentif sebesar dari Tiktok wkwk ya Allah hamba butuh uang :â€)",tiktok shop tutup lalu besok saya di pindah buat live di platform lain sama agency which means belum tentu income amp insentif sebesar dari tiktok tertawa iya allah hamba butuh uang,Positif
"Karena itu jangan khawatir tentang hari esok, karena hari esok akan khawatir tentang dirinya sendiri  #akutau  Tiktok Shop - Gen Z https://t.co/AKwY7gXkrI",karena itu jangan khawatir tentang hari esok karena hari esok akan khawatir tentang dirinya sendiri tiktok shop gen z,Netral
"Narasi SAMPAH yang digemborkan: tanah abang sepi karena tiktokshop.  Padahal konteks masalah tiktokshop bukan soal tanah abang/pasar tradisional sepi. Konteks masalah tiktok adalah soal national security, ketidakadilan kompetisi, persaingan dagang, e-commers non regulasi.",narasi sampah yang digemborkan tanah abang sepi karena tiktok shop padahal konteks masalah tiktok shop bukan soal tanah abangpasar tradisional sepi konteks masalah tiktok adalah soal national keamanan ketidakadilan kompetisi persaingan dagang e commers non regulasi,Netral
HAH Tiktok shop mau ditutup knp anjeeeng,hah tiktok shop mau ditutup kenapa anjeeeng,Positif
"Sedih bangetÂ² tiktok shop besok udah tutup. Udah berapa bulan ga prnh ke si oren, belinya di tiktok mulu krn lbh murah. Skrg tdk ada lagiii aku cedihh",sedih sekali tiktok shop besok sudah tutup sudah berapa bulan tidak pernah ke si oren belinya di tiktok melulu karena lebih murah sekarang tidak ada lagiii saya cedihh,Negatif
Di fb lagi rame bicarain tiktok shop mulai besok ditutup pemerintah... Pro &amp  kontra hal yg biasa.   Semoga ada jalan lain  menyelesaikan tuk umkm dan affiliate... Aamiin ðŸ˜‡,di facebook lagi ramai bicarain tiktok shop mulai besok ditutup pemerintah profesional amp kontra hal yang biasa semoga ada jalan lain menyelesaikan tuk umkm dan affiliate aamiin,Negatif
nah lo tiktok shop tutup besok. ntar live mandi lumpur dan gambar spongebob di air akan makin ramai.. ahh.. anyamnyamnyam kenyang,nah kamu tiktok shop tutup besok nanti live mandi lumpur dan gambar spongebob di air akan makin ramai ahh anyamnyamnyam kenyang,Positif
TikTok Indonesia mengumumkanÂ layananÂ TikTok Shop secara resmi ditutup Rabu 4 Oktober 2023 pukul 17.00 WIB. Pengumuman ini disampaikan melalui laman resmi TikTok Indonesia pada tautan newsroom informasi terkini dari TikTok Shop Indonesia.  https://t.co/yey4W8QTG8,tiktok indonesia mengumumkanlayanantiktok shop secara resmi ditutup rabu oktober pukul wib pengumuman ini disampaikan melalui laman resmi tiktok indonesia pada tautan newsroom informasi terkini dari tiktok shop indonesia,Positif
Terus yang udah transaksi di tiktok shop dan barangnya belum sampe gimana?,terus yang sudah transaksi di tiktok shop dan barangnya belum sampai bagaimana,Netral
dan sekarang titok shope di tutup? lalu umkm yang emng ke bantu dengan tiktok mau gimna?? di mulai dari NOL lagii???  #TikTok #TikTokshop,dan sekarang titok shopee di tutup lalu umkm yang memang ke bantu dengan tiktok mau bagaimana di mulai dari nol lagii,Positif
Eh besok tiktokshop udah ditutup trus pesenan gw dua lagi yang belum sampe gimanawoy  -- ,eh besok tiktok shop sudah ditutup terus pesanan saya dua lagi yang belum sampai gimanawoy,Positif
"@afvckado_ kok hanya tiktok shop, Lazada, Shoppe dan yang lain tidak sekalian di BANED.",kok hanya tiktok shop lazada shoppe dan yang lain tidak sekalian di baned,Netral
"Menertawakan diri sendiri, setelah tanpa pikir panjang cekot tiga barang di tiktok shop :â€™DD",menertawakan diri sendiri setelah tanpa pikir panjang cekot tiga barang di tiktok shop dd,Negatif
emang tiktokshop udh gabisa lagi ya?,memang tiktok shop sudah tidak bisa lagi iya,Netral
tiktok shop di cabut klo istilah kedokterannya itu TOLOL!!! gara2 ga punya solusi jadinya yaaaa gini2 aja. lu emang ga support kita dr awal,tiktok shop di pergi kalau istilah kedokterannya itu tolol karena tidak punya solusi jadinya yaaaa gini saja kamu memang tidak support kita dari awal,Negatif
knp tiktokshop tutup si :( gue sebagai orang yg ga berani nanya langsung ke penjual tatap2an ngerasa kebantu bgt bisa nanya2 pas lagi live ðŸ¥²ðŸ¥²ðŸ¥²,kenapa tiktok shop tutup si saya sebagai orang yang tidak berani bertanya langsung ke penjual tatapan kerasa kebantu sangat bisa bertanya pas lagi live,Positif
"woy mewek sendiri liat kakek2 live tiktok jualan, padahal besoknya udah dihapus sistemnya. banyak banget loh orang2 tua yang mungkin udah gabisa pergi jauh2 ke pasar buat jualan/gapunya lahan terbantu tiktokshop. zaman udah berkembang seharusnya semua orang siap nerima. https://t.co/p2RzfJT7DG",woy mewek sendiri lihat kakek live tiktok jualan padahal besoknya sudah dihapus sistemnya banyak sekali loh orang tua yang mungkin sudah tidak bisa pergi jauh ke pasar buat jualangapunya lahan terbantu tiktok shop zaman sudah berkembang seharusnya semua orang siap terima,Positif
kasian banget lihatnyaðŸ¥º tiktokshop pliss lah lebih bijak lagi.,kasian sekali lihatnya tiktok shop tolong lah lebih bijak lagi,Positif
"Tiktok shop mau ditutup orderan masuk , apakah ini orderan terakhir?",tiktok shop mau ditutup orderan masuk apakah ini orderan terakhir,Positif
"TikTok Shop Resmi Ditutup Besok, Menteri Teten Minta TikTok Penuhi Kewajiban ke Seller dan Afiliator #beritajogja #jogja #jogjaistimewa https://t.co/hGDCMzS5o5 https://t.co/IkInZIecak",tiktok shop resmi ditutup besok menteri teten minta tiktok penuhi kewajiban ke seller dan afiliator,Negatif
"Sedii bgt tiktokshop ditutup padahal aq seneng nonton orang live barangnya bagus"" dan murah"" juga  â€)"";0;negatif,,,,,,,,,,,,,,,",sedii sangat tiktok shop ditutup padahal saya senang nonton orang live barangnya bagus dan murah juga negatif,Positif
"baru co lewat tiktok shop, besok uda ditutup anj ðŸ˜­",baru check out lewat tiktok shop besok sudah ditutup anjing,Negatif
@iqbalrhmwn @AsahPolaPikir Ini sama kaya dulu taxi vs ojol  Dimana T Dan S punya regulasi a b c d Dan bayar pajak transaksi  Nah TikTok shop cuma ijin sosmed dimana gak pake regulasi a b c d kaya T dan S sama pajak yg di bayar itu pajak pendapatan iklan bukan pajak e-commerce  Itu yg buat TikTok di stop,ini sama seperti dulu taxi vs ojol dimana t dan s punya regulasi a b c di dan bayar pajak transaksi nah tiktok shop cuma ijin sosial media dimana tidak pakai regulasi a b c di seperti t dan s sama pajak yang di bayar itu pajak pendapatan iklan bukan pajak e commerce itu yang buat tiktok di stop,Positif
@Samodra22 @AsahPolaPikir Bukannya udah ada ya? Aplikasi tiktok shop kan ada sendiri. Ya di tiktok ada karna biar bisa tetap mantau aja gimana barangnya,bukannya sudah ada iya aplikasi tiktok shop kan ada sendiri iya di tiktok ada karena biar bisa tetap mantau saja bagaimana barangnya,Netral
Fak tiktok shop besok ditutup pdhl nunggu diskon 10.10 mau checkout barang  wkwkwkwkw,anjing tiktok shop besok ditutup padahal nunggu diskon mau checkout barang wkwkwkwkw,Negatif
"sedih juga ya gaada tiktokshop, gaada lg deh live skintific dimarah marahin host disuruh cepetan checkout sebelum kehabisan HAHA ðŸ« ðŸ˜®â€ðŸ’¨",sedih juga iya tidak ada uang tiktok shop tidak ada uang lagi deh live skintific dimarah marahin host disuruh cepetan checkout sebelum kehabisan tertawa,Negatif
"tiktokshop dah mau tutup ae, keranjang gw masih banyak woii:(",tiktok shop deh mau tutup saja keranjang saya masih banyak woii,Positif
Yang ditutup tiktok shop aja nih? Oke beralih ke oren ðŸ˜‚ sama ajeee bambangâ€¦,yang ditutup tiktok shop saja ini oke beralih ke oren sama ajeee bambang,Positif
"padahal yg algoritma nya pro artis si oren ini, tapi yg kena malah tiktok shop awikwok https://t.co/r59T1B0dx1",padahal yang algoritma nya profesional artis si oren ini tetapi yang kena bahkan tiktok shop awikwok,Positif
tiktokshop fix besok dah kaga bisa dipake yaa,tiktok shop memperbaiki besok deh tidak bisa dipake yaa,Netral
"Wkwkwk belom rejeki, padahal lg ngebangun akun tiktok buat buka tiktok shop ngejual alat2 roasting kopi DIY, eh malah mau ditutup ðŸ¤£ðŸ¤£",wkwkwk belum rezeki padahal lagi ngebangun akun tiktok buat buka tiktok shop ngejual alat roasting kopi diy eh bahkan mau ditutup,Negatif
"Sedih banget buka tiktok, banyak yg live sambil nangis karena besok tiktokshop resmi ditutup.",sedih sekali buka tiktok banyak yang live sambil menangis karena besok tiktok shop resmi ditutup,Negatif
Tiktok shop ditutup,tiktok shop ditutup,Negatif
Tiktok shop resmi di non aktifkan???  Well ku rasa bukan solusi yang tepat juga. .Karena apa? Kan Masih ada online shop yang lainnya. . Wkkkwkw klw mau Tutup semua online shop biar pro! Jangan cuma tiktok shop aja. Weee,tiktok shop resmi di non aktifkan well ku rasa bukan solusi yang tepat juga karena apa kan masih ada online shop yang lainnya wkkkwkw kalau mau tutup semua online shop biar profesional jangan cuma tiktok shop saja weee,Positif
"Saking pada obral di TikTok Shop, jadinya pembeli ngeblundak. Admin storenya sampai salah kirim ngakak bangettðŸ˜­ðŸ˜­ https://t.co/stxf85VM16",saking pada obral di tiktok shop jadinya pembeli ngeblundak admin storenya sampai salah kirim tertawa bangett,Negatif
@Anwiyya Emang sebelumnya gimana kak? Bukannya Tiktok Shop udah dilarang di Indonesia?,memang sebelumnya bagaimana kak bukannya tiktok shop sudah dilarang di indonesia,Netral
Tiktok shop tutup hari ini Langsung Check Out 4 item,tiktok shop tutup hari ini langsung check keluar hitam,Negatif
"Ngeliat tiktokshop mau ditutup aja sedih rasanya, penjual2 yg sering live pada nangis hari ini. Padahal ga ada hubungan kerjaanku juga disana. Cuma ngerasa, orang2 spt kita yang kerjanya non korporat"""";0;negatif,,,,,,,,,,,,,,,",melihat tiktok shop mau ditutup saja sedih rasanya penjual yang sering live pada menangis hari ini padahal tidak ada hubungan kerjaanku juga disana cuma kerasa orang seperti kita yang kerjanya non korporatnegatif,Negatif
"Kenapa si pada ribet tiktok shop di larang, kan masi ada online shop lainnya. Serius nanya",kenapa si pada ribet tiktok shop di larang kan masih ada online shop lainnya serius bertanya,Negatif
Demi apasih ternyata tiktok shop beneran gakan ada?? Pantesan yang beli barang dari video aku tiba tiba melonjakðŸ“ˆ,demi apa sih ternyata tiktok shop benar gakan ada pantesan yang beli barang dari video saya tiba tiba melonjak,Positif
