Tweet,Sentimen,CaseFolding,cleaned,Tokenizing,Formalisasi,Stemming,preprocessed
Kayanya pemerintah kita lebih rispek ama npc live anyayaum kenyang daripada orang yang buka usaha di tiktok shop,Positif,kayanya pemerintah kita lebih rispek ama npc live anyayaum kenyang daripada orang yang buka usaha di tiktok shop,kayanya pemerintah kita lebih rispek ama npc live anyayaum kenyang daripada orang yang buka usaha di tiktok shop,"['kayanya', 'pemerintah', 'kita', 'lebih', 'rispek', 'ama', 'npc', 'live', 'anyayaum', 'kenyang', 'daripada', 'orang', 'yang', 'buka', 'usaha', 'di', 'tiktok', 'shop']","['kayaknya', 'pemerintah', 'kita', 'lebih', 'rispek', 'sama', 'npc', 'live', 'anyayaum', 'kenyang', 'daripada', 'orang', 'yang', 'buka', 'usaha', 'di', 'tiktok', 'shop']","['kayak', 'perintah', 'kita', 'lebih', 'rispek', 'sama', 'npc', 'live', 'anyayaum', 'kenyang', 'daripada', 'orang', 'yang', 'buka', 'usaha', 'di', 'tiktok', 'shop']",kayaknya pemerintah kita lebih rispek sama npc live anyayaum kenyang daripada orang yang buka usaha di tiktok shop
TikTok Shop resmi pamit pagi ini ya madt ? kekmana keranjang belanjamu?,Netral,tiktok shop resmi pamit pagi ini ya madt ? kekmana keranjang belanjamu?,tiktok shop resmi pamit pagi ini ya madt kekmana keranjang belanjamu,"['tiktok', 'shop', 'resmi', 'pamit', 'pagi', 'ini', 'ya', 'madt', 'kekmana', 'keranjang', 'belanjamu']","['tiktok', 'shop', 'resmi', 'pamit', 'pagi', 'ini', 'iya', 'madt', 'kekmana', 'keranjang', 'belanjamu']","['tiktok', 'shop', 'resmi', 'pamit', 'pagi', 'ini', 'iya', 'madt', 'kekmana', 'keranjang', 'belanja']",tiktok shop resmi pamit pagi ini iya madt kekmana keranjang belanjamu
"Kemarin baru ttd spk, eh hari ini tiktokshop bakal ditutup ðŸ¥¹ðŸ˜®â€ðŸ’¨",Negatif,"kemarin baru ttd spk, eh hari ini tiktokshop bakal ditutup ðÿ¥¹ðÿ˜®â€ðÿ’¨",kemarin baru ttd spk eh hari ini tiktok shop bakal ditutup,"['kemarin', 'baru', 'ttd', 'spk', 'eh', 'hari', 'ini', 'tiktok', 'shop', 'bakal', 'ditutup']","['kemarin', 'baru', 'ttd', 'spk', 'eh', 'hari', 'ini', 'tiktok', 'shop', 'bakal', 'ditutup']","['kemarin', 'baru', 'ttd', 'spk', 'eh', 'hari', 'ini', 'tiktok', 'shop', 'bakal', 'tutup']",kemarin baru ttd spk eh hari ini tiktok shop bakal ditutup
@erigostore @SE_LynJKT48 @PS_AmandaJKT48 Dah g di tiktok shop lagi nih,Netral,@erigostore @se_lynjkt48 @ps_amandajkt48 dah g di tiktok shop lagi nih,dah g di tiktok shop lagi nih,"['dah', 'g', 'di', 'tiktok', 'shop', 'lagi', 'nih']","['deh', 'Tidak', 'di', 'tiktok', 'shop', 'lagi', 'ini']","['deh', 'tidak', 'di', 'tiktok', 'shop', 'lagi', 'ini']",deh Tidak di tiktok shop lagi ini
"@Farochi7 @pambudiPati Tapi pagi tadi kok masih ada tiktok shop ya, katanya ditutup tanggal 4",Negatif,"@farochi7 @pambudipati tapi pagi tadi kok masih ada tiktok shop ya, katanya ditutup tanggal 4",tapi pagi tadi kok masih ada tiktok shop ya katanya ditutup tanggal 4,"['tapi', 'pagi', 'tadi', 'kok', 'masih', 'ada', 'tiktok', 'shop', 'ya', 'katanya', 'ditutup', 'tanggal', '4']","['tetapi', 'pagi', 'tadi', 'kok', 'masih', 'ada', 'tiktok', 'shop', 'iya', 'katanya', 'ditutup', 'tanggal', '4']","['tetapi', 'pagi', 'tadi', 'kok', 'masih', 'ada', 'tiktok', 'shop', 'iya', 'kata', 'tutup', 'tanggal', '4']",tetapi pagi tadi kok masih ada tiktok shop iya katanya ditutup tanggal 4
Btw orang yang di Tanah Abang yang minta tiktoshop berenti yakin ya disana bakal rame lagi? Bakal banyak yang belanja lagi kesana kalo tiktokshop udah berenti? Kalo malah pindah ke oren gimana? Atau ke yang lain?,Positif,btw orang yang di tanah abang yang minta tiktoshop berenti yakin ya disana bakal rame lagi? bakal banyak yang belanja lagi kesana kalo tiktokshop udah berenti? kalo malah pindah ke oren gimana? atau ke yang lain?,btw orang yang di tanah abang yang minta tiktoshop berenti yakin ya disana bakal rame lagi bakal banyak yang belanja lagi kesana kalo tiktok shop udah berenti kalo malah pindah ke oren gimana atau ke yang lain,"['btw', 'orang', 'yang', 'di', 'tanah', 'abang', 'yang', 'minta', 'tiktoshop', 'berenti', 'yakin', 'ya', 'disana', 'bakal', 'rame', 'lagi', 'bakal', 'banyak', 'yang', 'belanja', 'lagi', 'kesana', 'kalo', 'tiktok', 'shop', 'udah', 'berenti', 'kalo', 'malah', 'pindah', 'ke', 'oren', 'gimana', 'atau', 'ke', 'yang', 'lain']","['ngomong-ngomong', 'orang', 'yang', 'di', 'tanah', 'abang', 'yang', 'minta', 'tiktoshop', 'berenti', 'yakin', 'iya', 'disana', 'bakal', 'ramai', 'lagi', 'bakal', 'banyak', 'yang', 'belanja', 'lagi', 'kesana', 'kalau', 'tiktok', 'shop', 'sudah', 'berenti', 'kalau', 'bahkan', 'pindah', 'ke', 'oren', 'bagaimana', 'atau', 'ke', 'yang', 'lain']","['ngomong-ngomong', 'orang', 'yang', 'di', 'tanah', 'abang', 'yang', 'minta', 'tiktoshop', 'renti', 'yakin', 'iya', 'sana', 'bakal', 'ramai', 'lagi', 'bakal', 'banyak', 'yang', 'belanja', 'lagi', 'kesana', 'kalau', 'tiktok', 'shop', 'sudah', 'renti', 'kalau', 'bahkan', 'pindah', 'ke', 'oren', 'bagaimana', 'atau', 'ke', 'yang', 'lain']",ngomong-ngomong orang yang di tanah abang yang minta tiktoshop berenti yakin iya disana bakal ramai lagi bakal banyak yang belanja lagi kesana kalau tiktok shop sudah berenti kalau bahkan pindah ke oren bagaimana atau ke yang lain
"@bakanosan1 @el_avraham jujur heran gw kok banyak orang yg salty gara2 tiktokshop di hapus, kira2 kenapa ya? soalnya kalo menurut gw e-commerce lain masih banyak.",Positif,"@bakanosan1 @el_avraham jujur heran gw kok banyak orang yg salty gara2 tiktokshop di hapus, kira2 kenapa ya? soalnya kalo menurut gw e-commerce lain masih banyak.",jujur heran gw kok banyak orang yg salty gara2 tiktok shop di hapus kira2 kenapa ya soalnya kalo menurut gw e commerce lain masih banyak,"['jujur', 'heran', 'gw', 'kok', 'banyak', 'orang', 'yg', 'salty', 'gara2', 'tiktok', 'shop', 'di', 'hapus', 'kira2', 'kenapa', 'ya', 'soalnya', 'kalo', 'menurut', 'gw', 'e', 'commerce', 'lain', 'masih', 'banyak']","['jujur', 'heran', 'saya', 'kok', 'banyak', 'orang', 'yang', 'salty', 'gara2', 'tiktok', 'shop', 'di', 'hapus', 'kira2', 'kenapa', 'iya', 'soalnya', 'kalau', 'menurut', 'saya', 'e', 'commerce', 'lain', 'masih', 'banyak']","['jujur', 'heran', 'saya', 'kok', 'banyak', 'orang', 'yang', 'salty', 'gara2', 'tiktok', 'shop', 'di', 'hapus', 'kira2', 'kenapa', 'iya', 'soal', 'kalau', 'turut', 'saya', 'e', 'commerce', 'lain', 'masih', 'banyak']",jujur heran saya kok banyak orang yang salty gara2 tiktok shop di hapus kira2 kenapa iya soalnya kalau menurut saya e commerce lain masih banyak
Waw tiktok shop lagi pada diskon diskonan,Netral,waw tiktok shop lagi pada diskon diskonan,waw tiktok shop lagi pada diskon diskonan,"['waw', 'tiktok', 'shop', 'lagi', 'pada', 'diskon', 'diskonan']","['waw', 'tiktok', 'shop', 'lagi', 'pada', 'diskon', 'diskonan']","['waw', 'tiktok', 'shop', 'lagi', 'pada', 'diskon', 'diskon']",waw tiktok shop lagi pada diskon diskonan
"Golongan orang yang belum pernah ngerasain belanja di tiktok shopâœ… Pdhl bulan ini mau ngumpulin uang dl buat beli di tiktok shop e-eh malah dah keburu di tutup, yawes",Positif,"golongan orang yang belum pernah ngerasain belanja di tiktok shopâœ… pdhl bulan ini mau ngumpulin uang dl buat beli di tiktok shop e-eh malah dah keburu di tutup, yawes",golongan orang yang belum pernah ngerasain belanja di tiktok shop pdhl bulan ini mau ngumpulin uang dl buat beli di tiktok shop e eh malah dah keburu di tutup yawes,"['golongan', 'orang', 'yang', 'belum', 'pernah', 'ngerasain', 'belanja', 'di', 'tiktok', 'shop', 'pdhl', 'bulan', 'ini', 'mau', 'ngumpulin', 'uang', 'dl', 'buat', 'beli', 'di', 'tiktok', 'shop', 'e', 'eh', 'malah', 'dah', 'keburu', 'di', 'tutup', 'yawes']","['golongan', 'orang', 'yang', 'belum', 'pernah', 'ngerasain', 'belanja', 'di', 'tiktok', 'shop', 'padahal', 'bulan', 'ini', 'mau', 'ngumpulin', 'uang', 'dulu', 'buat', 'beli', 'di', 'tiktok', 'shop', 'e', 'eh', 'bahkan', 'deh', 'terlanjur', 'di', 'tutup', 'yawes']","['golong', 'orang', 'yang', 'belum', 'pernah', 'ngerasain', 'belanja', 'di', 'tiktok', 'shop', 'padahal', 'bulan', 'ini', 'mau', 'ngumpulin', 'uang', 'dulu', 'buat', 'beli', 'di', 'tiktok', 'shop', 'e', 'eh', 'bahkan', 'deh', 'lanjur', 'di', 'tutup', 'yawes']",golongan orang yang belum pernah ngerasain belanja di tiktok shop padahal bulan ini mau ngumpulin uang dulu buat beli di tiktok shop e eh bahkan deh terlanjur di tutup yawes
"Tiktokshop resmi ditutup, yang jadi korban pastinya juga UMKM. Cuman para UMKM ini juga harus melek kalau Tiktok langgar banyak aturan dan belum mau penuhin regulasi. Keputusan berat memang, tapi kalau semua aturan sama dan fair pasti sama-sama enak. Mirip TKDN dulu.",Positif,"tiktokshop resmi ditutup, yang jadi korban pastinya juga umkm. cuman para umkm ini juga harus melek kalau tiktok langgar banyak aturan dan belum mau penuhin regulasi. keputusan berat memang, tapi kalau semua aturan sama dan fair pasti sama-sama enak. mirip tkdn dulu.",tiktok shop resmi ditutup yang jadi korban pastinya juga umkm cuman para umkm ini juga harus melek kalau tiktok langgar banyak aturan dan belum mau penuhin regulasi keputusan berat memang tapi kalau semua aturan sama dan fair pasti sama sama enak mirip tkdn dulu,"['tiktok', 'shop', 'resmi', 'ditutup', 'yang', 'jadi', 'korban', 'pastinya', 'juga', 'umkm', 'cuman', 'para', 'umkm', 'ini', 'juga', 'harus', 'melek', 'kalau', 'tiktok', 'langgar', 'banyak', 'aturan', 'dan', 'belum', 'mau', 'penuhin', 'regulasi', 'keputusan', 'berat', 'memang', 'tapi', 'kalau', 'semua', 'aturan', 'sama', 'dan', 'fair', 'pasti', 'sama', 'sama', 'enak', 'mirip', 'tkdn', 'dulu']","['tiktok', 'shop', 'resmi', 'ditutup', 'yang', 'jadi', 'korban', 'pastinya', 'juga', 'umkm', 'cuman', 'para', 'umkm', 'ini', 'juga', 'harus', 'melek', 'kalau', 'tiktok', 'langgar', 'banyak', 'aturan', 'dan', 'belum', 'mau', 'penuhin', 'regulasi', 'keputusan', 'berat', 'memang', 'tetapi', 'kalau', 'semua', 'aturan', 'sama', 'dan', 'adil', 'pasti', 'sama', 'sama', 'enak', 'mirip', 'tkdn', 'dulu']","['tiktok', 'shop', 'resmi', 'tutup', 'yang', 'jadi', 'korban', 'pasti', 'juga', 'umkm', 'cuman', 'para', 'umkm', 'ini', 'juga', 'harus', 'melek', 'kalau', 'tiktok', 'langgar', 'banyak', 'atur', 'dan', 'belum', 'mau', 'penuhin', 'regulasi', 'putus', 'berat', 'memang', 'tetapi', 'kalau', 'semua', 'atur', 'sama', 'dan', 'adil', 'pasti', 'sama', 'sama', 'enak', 'mirip', 'tkdn', 'dulu']",tiktok shop resmi ditutup yang jadi korban pastinya juga umkm cuman para umkm ini juga harus melek kalau tiktok langgar banyak aturan dan belum mau penuhin regulasi keputusan berat memang tetapi kalau semua aturan sama dan adil pasti sama sama enak mirip tkdn dulu
Tidak adakah opsi lain selain menutup Tiktok shop? ðŸ˜¢,Negatif,tidak adakah opsi lain selain menutup tiktok shop? ðÿ˜¢,tidak adakah opsi lain selain menutup tiktok shop,"['tidak', 'adakah', 'opsi', 'lain', 'selain', 'menutup', 'tiktok', 'shop']","['tidak', 'adakah', 'opsi', 'lain', 'selain', 'menutup', 'tiktok', 'shop']","['tidak', 'ada', 'opsi', 'lain', 'selain', 'tutup', 'tiktok', 'shop']",tidak adakah opsi lain selain menutup tiktok shop
@isurtonic Kemaren masih ada tiktokshop. Emang sekarang udah gada?,Netral,@isurtonic kemaren masih ada tiktokshop. emang sekarang udah gada?,kemaren masih ada tiktok shop emang sekarang udah gada,"['kemaren', 'masih', 'ada', 'tiktok', 'shop', 'emang', 'sekarang', 'udah', 'gada']","['kemarin', 'masih', 'ada', 'tiktok', 'shop', 'memang', 'sekarang', 'sudah', 'tidak ada']","['kemarin', 'masih', 'ada', 'tiktok', 'shop', 'memang', 'sekarang', 'sudah', 'tidak ada']",kemarin masih ada tiktok shop memang sekarang sudah tidak ada
Saya harap para pedagang Tanah Abang sadar kalau salah satu penyebab mereka sepi adalah uang pelanggan potensial yang sudah habis dipakai depo judi online keluarganya. Ayo demo biar judi online segera ditutup pemerintah kaya Tiktokshop demi ekonomi UMKM. ðŸ‚,Negatif,saya harap para pedagang tanah abang sadar kalau salah satu penyebab mereka sepi adalah uang pelanggan potensial yang sudah habis dipakai depo judi online keluarganya. ayo demo biar judi online segera ditutup pemerintah kaya tiktokshop demi ekonomi umkm. ðÿ‚,saya harap para pedagang tanah abang sadar kalau salah satu penyebab mereka sepi adalah uang pelanggan potensial yang sudah habis dipakai depo judi online keluarganya ayo demo biar judi online segera ditutup pemerintah kaya tiktok shop demi ekonomi umkm,"['saya', 'harap', 'para', 'pedagang', 'tanah', 'abang', 'sadar', 'kalau', 'salah', 'satu', 'penyebab', 'mereka', 'sepi', 'adalah', 'uang', 'pelanggan', 'potensial', 'yang', 'sudah', 'habis', 'dipakai', 'depo', 'judi', 'online', 'keluarganya', 'ayo', 'demo', 'biar', 'judi', 'online', 'segera', 'ditutup', 'pemerintah', 'kaya', 'tiktok', 'shop', 'demi', 'ekonomi', 'umkm']","['saya', 'harap', 'para', 'pedagang', 'tanah', 'abang', 'sadar', 'kalau', 'salah', 'satu', 'penyebab', 'mereka', 'sepi', 'adalah', 'uang', 'konsumen', 'potensial', 'yang', 'sudah', 'habis', 'dipakai', 'Depot', 'judi', 'online', 'keluarganya', 'ayo', 'demo', 'biar', 'judi', 'online', 'segera', 'ditutup', 'pemerintah', 'seperti', 'tiktok', 'shop', 'demi', 'ekonomi', 'umkm']","['saya', 'harap', 'para', 'dagang', 'tanah', 'abang', 'sadar', 'kalau', 'salah', 'satu', 'sebab', 'mereka', 'sepi', 'adalah', 'uang', 'konsumen', 'potensial', 'yang', 'sudah', 'habis', 'pakai', 'depot', 'judi', 'online', 'keluarga', 'ayo', 'demo', 'biar', 'judi', 'online', 'segera', 'tutup', 'perintah', 'seperti', 'tiktok', 'shop', 'demi', 'ekonomi', 'umkm']",saya harap para pedagang tanah abang sadar kalau salah satu penyebab mereka sepi adalah uang konsumen potensial yang sudah habis dipakai Depot judi online keluarganya ayo demo biar judi online segera ditutup pemerintah seperti tiktok shop demi ekonomi umkm
Waw hari ini jam 5 sore terakhir tiktokshop,Positif,waw hari ini jam 5 sore terakhir tiktokshop,waw hari ini jam 5 sore terakhir tiktok shop,"['waw', 'hari', 'ini', 'jam', '5', 'sore', 'terakhir', 'tiktok', 'shop']","['waw', 'hari', 'ini', 'jam', '5', 'sore', 'terakhir', 'tiktok', 'shop']","['waw', 'hari', 'ini', 'jam', '5', 'sore', 'akhir', 'tiktok', 'shop']",waw hari ini jam 5 sore terakhir tiktok shop
Tiktok shop jadi tutup banyak layoff lagi ga si? Apa kabar posisi dedicated host live?,Positif,tiktok shop jadi tutup banyak layoff lagi ga si? apa kabar posisi dedicated host live?,tiktok shop jadi tutup banyak layoff lagi ga si apa kabar posisi dedicated host live,"['tiktok', 'shop', 'jadi', 'tutup', 'banyak', 'layoff', 'lagi', 'ga', 'si', 'apa', 'kabar', 'posisi', 'dedicated', 'host', 'live']","['tiktok', 'shop', 'jadi', 'tutup', 'banyak', 'layoff', 'lagi', 'tidak', 'si', 'apa', 'kabar', 'posisi', 'dedicated', 'host', 'live']","['tiktok', 'shop', 'jadi', 'tutup', 'banyak', 'layoff', 'lagi', 'tidak', 'si', 'apa', 'kabar', 'posisi', 'dedicated', 'host', 'live']",tiktok shop jadi tutup banyak layoff lagi tidak si apa kabar posisi dedicated host live
@evnnel Tiktok shop dilarang tapi kayaknya bakal dipisah antara tiktokshop dan sosmednya.,Positif,@evnnel tiktok shop dilarang tapi kayaknya bakal dipisah antara tiktokshop dan sosmednya.,tiktok shop dilarang tapi kayaknya bakal dipisah antara tiktok shop dan sosmednya,"['tiktok', 'shop', 'dilarang', 'tapi', 'kayaknya', 'bakal', 'dipisah', 'antara', 'tiktok', 'shop', 'dan', 'sosmednya']","['tiktok', 'shop', 'dilarang', 'tetapi', 'kayaknya', 'bakal', 'dipisah', 'antara', 'tiktok', 'shop', 'dan', 'sosmednya']","['tiktok', 'shop', 'larang', 'tetapi', 'kayak', 'bakal', 'pisah', 'antara', 'tiktok', 'shop', 'dan', 'sosmednya']",tiktok shop dilarang tetapi kayaknya bakal dipisah antara tiktok shop dan sosmednya
aku sedih tiktokshop ditutup,Negatif,aku sedih tiktokshop ditutup,aku sedih tiktok shop ditutup,"['aku', 'sedih', 'tiktok', 'shop', 'ditutup']","['saya', 'sedih', 'tiktok', 'shop', 'ditutup']","['saya', 'sedih', 'tiktok', 'shop', 'tutup']",saya sedih tiktok shop ditutup
Dari tiktok shop lagi hypenya sampe mau ditutup gak pernah belanja disituðŸ˜‚ðŸ˜‚ðŸ˜‚,Negatif,dari tiktok shop lagi hypenya sampe mau ditutup gak pernah belanja disituðÿ˜‚ðÿ˜‚ðÿ˜‚,dari tiktok shop lagi hypenya sampe mau ditutup gak pernah belanja disitu,"['dari', 'tiktok', 'shop', 'lagi', 'hypenya', 'sampe', 'mau', 'ditutup', 'gak', 'pernah', 'belanja', 'disitu']","['dari', 'tiktok', 'shop', 'lagi', 'hypenya', 'sampai', 'mau', 'ditutup', 'tidak', 'pernah', 'belanja', 'disitu']","['dari', 'tiktok', 'shop', 'lagi', 'hypenya', 'sampai', 'mau', 'tutup', 'tidak', 'pernah', 'belanja', 'situ']",dari tiktok shop lagi hypenya sampai mau ditutup tidak pernah belanja disitu
"serius nanya, tiktok shop kan ntar ditutup, tapi ada barangku yg belom dikasih ke kurir tuh mending dicancel apa biarin dikirim ya ðŸ˜­",Positif,"serius nanya, tiktok shop kan ntar ditutup, tapi ada barangku yg belom dikasih ke kurir tuh mending dicancel apa biarin dikirim ya ðÿ˜­",serius nanya tiktok shop kan ntar ditutup tapi ada barangku yg belom dikasih ke kurir tuh mending dicancel apa biarin dikirim ya,"['serius', 'nanya', 'tiktok', 'shop', 'kan', 'ntar', 'ditutup', 'tapi', 'ada', 'barangku', 'yg', 'belom', 'dikasih', 'ke', 'kurir', 'tuh', 'mending', 'dicancel', 'apa', 'biarin', 'dikirim', 'ya']","['serius', 'bertanya', 'tiktok', 'shop', 'kan', 'nanti', 'ditutup', 'tetapi', 'ada', 'barangku', 'yang', 'belum', 'kasih', 'ke', 'kurir', 'tuh', 'lebih baik', 'di batalkan', 'apa', 'biarin', 'dikirim', 'iya']","['serius', 'tanya', 'tiktok', 'shop', 'kan', 'nanti', 'tutup', 'tetapi', 'ada', 'barang', 'yang', 'belum', 'kasih', 'ke', 'kurir', 'tuh', 'lebih baik', 'di batal', 'apa', 'biarin', 'kirim', 'iya']",serius bertanya tiktok shop kan nanti ditutup tetapi ada barangku yang belum kasih ke kurir tuh lebih baik di batalkan apa biarin dikirim iya
hari ini tiktokshop beneran ditutup kah???,Negatif,hari ini tiktokshop beneran ditutup kah???,hari ini tiktok shop beneran ditutup kah,"['hari', 'ini', 'tiktok', 'shop', 'beneran', 'ditutup', 'kah']","['hari', 'ini', 'tiktok', 'shop', 'benar', 'ditutup', 'kah']","['hari', 'ini', 'tiktok', 'shop', 'benar', 'tutup', 'kah']",hari ini tiktok shop benar ditutup kah
"bangun tidur ku terus mandi, bukan malah checkout tiktok shop dan shopeeðŸ˜­",Netral,"bangun tidur ku terus mandi, bukan malah checkout tiktok shop dan shopeeðÿ˜­",bangun tidur ku terus mandi bukan malah checkout tiktok shop dan shopee,"['bangun', 'tidur', 'ku', 'terus', 'mandi', 'bukan', 'malah', 'checkout', 'tiktok', 'shop', 'dan', 'shopee']","['bangun', 'tidur', 'ku', 'terus', 'mandi', 'bukan', 'bahkan', 'checkout', 'tiktok', 'shop', 'dan', 'shopee']","['bangun', 'tidur', 'ku', 'terus', 'mandi', 'bukan', 'bahkan', 'checkout', 'tiktok', 'shop', 'dan', 'shopee']",bangun tidur ku terus mandi bukan bahkan checkout tiktok shop dan shopee
tiktok shop dah tumpaskan go shop. wowerssssðŸ˜‚,Netral,tiktok shop dah tumpaskan go shop. wowerssssðÿ˜‚,tiktok shop dah tumpaskan go shop wowerssss,"['tiktok', 'shop', 'dah', 'tumpaskan', 'go', 'shop', 'wowerssss']","['tiktok', 'shop', 'deh', 'tumpaskan', 'go', 'shop', 'wowerssss']","['tiktok', 'shop', 'deh', 'tumpas', 'go', 'shop', 'wowerssss']",tiktok shop deh tumpaskan go shop wowerssss
Karena banyak reseller gwe yang jualan di TikTok shop gituloh karena mereka jual satuan &amp  laku-laku aja.,Positif,karena banyak reseller gwe yang jualan di tiktok shop gituloh karena mereka jual satuan &amp  laku-laku aja.,karena banyak reseller gwe yang jualan di tiktok shop gituloh karena mereka jual satuan amp laku laku aja,"['karena', 'banyak', 'reseller', 'gwe', 'yang', 'jualan', 'di', 'tiktok', 'shop', 'gituloh', 'karena', 'mereka', 'jual', 'satuan', 'amp', 'laku', 'laku', 'aja']","['karena', 'banyak', 'reseller', 'gwe', 'yang', 'jualan', 'di', 'tiktok', 'shop', 'gituloh', 'karena', 'mereka', 'jual', 'satuan', 'amp', 'laku', 'laku', 'saja']","['karena', 'banyak', 'reseller', 'gwe', 'yang', 'jual', 'di', 'tiktok', 'shop', 'gituloh', 'karena', 'mereka', 'jual', 'satu', 'amp', 'laku', 'laku', 'saja']",karena banyak reseller gwe yang jualan di tiktok shop gituloh karena mereka jual satuan amp laku laku saja
"Sad bgt tiktokshop ditutup, udah enak ga ada biaya adm nya kyk marketplace yg lain murah2 lagiðŸ˜­",Positif,"sad bgt tiktokshop ditutup, udah enak ga ada biaya adm nya kyk marketplace yg lain murah2 lagiðÿ˜­",sad bgt tiktok shop ditutup udah enak ga ada biaya adm nya kyk marketplace yg lain murah2 lagi,"['sad', 'bgt', 'tiktok', 'shop', 'ditutup', 'udah', 'enak', 'ga', 'ada', 'biaya', 'adm', 'nya', 'kyk', 'marketplace', 'yg', 'lain', 'murah2', 'lagi']","['sedih', 'sangat', 'tiktok', 'shop', 'ditutup', 'sudah', 'enak', 'tidak', 'ada', 'biaya', 'adm', 'nya', 'seperti', 'marketplace', 'yang', 'lain', 'murah2', 'lagi']","['sedih', 'sangat', 'tiktok', 'shop', 'tutup', 'sudah', 'enak', 'tidak', 'ada', 'biaya', 'adm', 'nya', 'seperti', 'marketplace', 'yang', 'lain', 'murah2', 'lagi']",sedih sangat tiktok shop ditutup sudah enak tidak ada biaya adm nya seperti marketplace yang lain murah2 lagi
"Banyak seller yg live bilang tiktok shop mau tutup, tapi bingung mau beli apa ðŸ« ",Positif,"banyak seller yg live bilang tiktok shop mau tutup, tapi bingung mau beli apa ðÿ« ",banyak seller yg live bilang tiktok shop mau tutup tapi bingung mau beli apa,"['banyak', 'seller', 'yg', 'live', 'bilang', 'tiktok', 'shop', 'mau', 'tutup', 'tapi', 'bingung', 'mau', 'beli', 'apa']","['banyak', 'seller', 'yang', 'live', 'bilang', 'tiktok', 'shop', 'mau', 'tutup', 'tetapi', 'bingung', 'mau', 'beli', 'apa']","['banyak', 'seller', 'yang', 'live', 'bilang', 'tiktok', 'shop', 'mau', 'tutup', 'tetapi', 'bingung', 'mau', 'beli', 'apa']",banyak seller yang live bilang tiktok shop mau tutup tetapi bingung mau beli apa
Kacau TiktokShop ditutup padahal banyak baju/jaket/kaos yg kualitas nya bagus tapi harganya murah,Positif,kacau tiktokshop ditutup padahal banyak baju/jaket/kaos yg kualitas nya bagus tapi harganya murah,kacau tiktok shop ditutup padahal banyak bajujaketkaos yg kualitas nya bagus tapi harganya murah,"['kacau', 'tiktok', 'shop', 'ditutup', 'padahal', 'banyak', 'bajujaketkaos', 'yg', 'kualitas', 'nya', 'bagus', 'tapi', 'harganya', 'murah']","['kacau', 'tiktok', 'shop', 'ditutup', 'padahal', 'banyak', 'bajujaketkaos', 'yang', 'kualitas', 'nya', 'bagus', 'tetapi', 'harganya', 'murah']","['kacau', 'tiktok', 'shop', 'tutup', 'padahal', 'banyak', 'bajujaketkaos', 'yang', 'kualitas', 'nya', 'bagus', 'tetapi', 'harga', 'murah']",kacau tiktok shop ditutup padahal banyak bajujaketkaos yang kualitas nya bagus tetapi harganya murah
"Impulsive pagi kali ini, buka tiktokshop sebelum ditutup, dan lgsg checkout tas. Yhaa, tas again, tas again, tas again.. Loveyou pokonya sama Tas! ðŸ˜­ðŸ¤£",Netral,"impulsive pagi kali ini, buka tiktokshop sebelum ditutup, dan lgsg checkout tas. yhaa, tas again, tas again, tas again.. loveyou pokonya sama tas! ðÿ˜­ðÿ¤£",impulsive pagi kali ini buka tiktok shop sebelum ditutup dan lgsg checkout tas yhaa tas again tas again tas again loveyou pokonya sama tas,"['impulsive', 'pagi', 'kali', 'ini', 'buka', 'tiktok', 'shop', 'sebelum', 'ditutup', 'dan', 'lgsg', 'checkout', 'tas', 'yhaa', 'tas', 'again', 'tas', 'again', 'tas', 'again', 'loveyou', 'pokonya', 'sama', 'tas']","['impulsive', 'pagi', 'kali', 'ini', 'buka', 'tiktok', 'shop', 'sebelum', 'ditutup', 'dan', 'langsung', 'checkout', 'tas', 'yhaa', 'tas', 'again', 'tas', 'again', 'tas', 'again', 'loveyou', 'pokok', 'sama', 'tas']","['impulsive', 'pagi', 'kali', 'ini', 'buka', 'tiktok', 'shop', 'belum', 'tutup', 'dan', 'langsung', 'checkout', 'tas', 'yhaa', 'tas', 'again', 'tas', 'again', 'tas', 'again', 'loveyou', 'pokok', 'sama', 'tas']",impulsive pagi kali ini buka tiktok shop sebelum ditutup dan langsung checkout tas yhaa tas again tas again tas again loveyou pokok sama tas
"bang entar bang, tiktok shop jgn tutup dulu, barang gua masi otw",Netral,"bang entar bang, tiktok shop jgn tutup dulu, barang gua masi otw",bang entar bang tiktok shop jgn tutup dulu barang gua masi otw,"['bang', 'entar', 'bang', 'tiktok', 'shop', 'jgn', 'tutup', 'dulu', 'barang', 'gua', 'masi', 'otw']","['bang', 'entar', 'bang', 'tiktok', 'shop', 'jangan', 'tutup', 'dulu', 'barang', 'saya', 'masih', 'on the way, sedang di jalan']","['bang', 'entar', 'bang', 'tiktok', 'shop', 'jangan', 'tutup', 'dulu', 'barang', 'saya', 'masih', 'on the way sedang di jalan']","bang entar bang tiktok shop jangan tutup dulu barang saya masih on the way, sedang di jalan"
